nom_communes, code_wilayas
Bouhanifia,29
Chorfa,29
El Bordj,29
El Gaada,29
El Ghomri,29
El Gueitena,29
El Hachem,29
El Keurt,29
El Mamounia,29
El Menaouer,29
Ferraguig,29
Froha,29
Gharrous,29
Ghriss,29
Guerdjoum,29
Hacine,29
Khalouia,29
Makhda,29
Maoussa,29
Mascara,29
Matemore,29
Mocta Douz,29
Mohammadia,29
Nesmot,29
Oggaz,29
Oued El Abtal,29
Oued Taria,29
Ras El Ain Amirouche,29
Sedjerara,29
Sehailia,29
Sidi Abdeldjebar,29
Sidi Abdelmoumene,29
Sidi Boussaid,29
Sidi Kada,29
Sig,29
Tighennif,29
Tizi,29
Zahana,29
Zelamta,29
Ain Beida,30
El Borma,30
Hassi Ben Abdellah,30
Hassi Messaoud,30
N'goussa,30
Ouargla,30
Rouissat,30
Sidi Khouiled,30
Ain Biya,31
Ain Kerma,31
Ain Turk,31
Arzew,31
Ben Freha,31
Bethioua,31
Bir El Djir,31
Boufatis,31
Bousfer,31
Boutlelis,31
El Ancar,31
El Braya,31
El Kerma,31
Es Senia,31
Gdyel,31
Hassi Ben Okba,31
Hassi Bounif,31
Hassi Mefsoukh,31
Marsat El Hadjadj,31
Mers El Kebir,31
Messerghin,31
Oran,31
Oued Tlelat,31
Sidi Ben Yebka,31
Sidi Chami,31
Tafraoui,31
Ain El Orak,32
Arbaouat,32
Boualem,32
Bougtoub,32
Boussemghoun,32
Brezina,32
Cheguig,32
Chellala,32
El Bayadh,32
El Biodh Sidi Cheikh,32
El Bnoud,32
El Kheither,32
El Mehara,32
Ghassoul,32
Kef El Ahmar,32
Krakda,32
Rogassa,32
Sidi Ameur,32
Sidi Slimane,32
Sidi Tifour,32
Stitten,32
Tousmouline,32
Bordj Omar Driss,33
Debdeb,33
Illizi,33
In Amenas,33
Ain Taghrout,34
Ain Tesra,34
Belimour,34
Ben Daoud,34
Bir Kasdali,34
Bordj Bou Arreridj,34
Bordj Ghdir,34
Bordj Zemora,34
Colla,34
Djaafra,34
El Ach,34
El Achir,34
El Anseur,34
El Hamadia,34
El M'hir,34
El Main,34
Ghilassa,34
Haraza,34
Hasnaoua,34
Khelil,34
Ksour,34
Mansoura,34
Medjana,34
Ouled Brahem,34
Ouled Dahmane,34
Ouled Sidi Brahim,34
Rabta,34
Ras El Oued,34
Sidi Embarek,34
Tafreg,34
Taglait,34
Teniet En Nasr,34
Tesmart,34
Tixter,34
Afir,35
Ammal,35
Baghlia,35
Ben Choud,35
Beni Amrane,35
Bordj Menaiel,35
Boudouaou,35
Boudouaou El Bahri,35
Boumerdes,35
Bouzegza Keddara,35
Chabet El Ameur,35
Corso,35
Dellys,35
Djinet,35
El Kharrouba,35
Hammedi,35
Isser,35
Khemis El Khechna,35
Larbatache,35
Leghata,35
Naciria,35
Ouled Aissa,35
Ouled Hedadj,35
Ouled Moussa,35
Si Mustapha,35
Sidi Daoud,35
Souk El Haad,35
Taourga,35
Thenia,35
Tidjelabine,35
Timezrit,35
Zemmouri,35
Ain El Assel,36
Ain Kerma,36
Asfour,36
Ben M Hidi,36
Berrihane,36
Besbes,36
Bougous,36
Bouhadjar,36
Bouteldja,36
Chebaita Mokhtar,36
Chefia,36
Chihani,36
Drean,36
Echatt,36
El Aioun,36
El Kala,36
El Tarf,36
Hammam Beni Salah,36
Lac Des Oiseaux,36
Oued Zitoun,36
Raml Souk,36
Souarekh,36
Zerizer,36
Zitouna,36
Oum El Assel,37
Tindouf,37
Ammari,38
Beni Chaib,38
Beni Lahcene,38
Bordj Bounaama,38
Bordj El Emir Abdelkader,38
Bou Caid,38
Khemisti,38
